postcode_sector,year,avg_price,median_price,n_sales,easting,northing,LSOA_2021_Code,Female_Total,Male_Total,Pop_Total_FM
BS14 9,2024,304222.49411764706,298000.0,85,360770.1589958159,168885.83682008367,E01014608,994.0,910.0,1904.0
BS15 1,2015,175955.91666666666,175000.0,264,364336.4666666667,174310.17894736843,E01014623,842.0,838.0,1680.0
BS15 1,2016,197033.00727272726,200000.0,275,364336.4666666667,174310.17894736843,E01014623,856.0,885.0,1741.0
BS15 1,2017,205170.48089171975,203375.0,314,364336.4666666667,174310.17894736843,E01014623,849.0,902.0,1751.0
BS15 1,2018,214091.18359375,215500.0,256,364336.4666666667,174310.17894736843,E01014623,871.0,867.0,1738.0
BS15 1,2019,219711.93609022556,219500.0,266,364336.4666666667,174310.17894736843,E01014623,863.0,868.0,1731.0
BS15 1,2020,260295.33519553073,230000.0,179,364336.4666666667,174310.17894736843,E01014623,864.0,896.0,1760.0
BS15 1,2021,258953.6594827586,255000.0,232,364336.4666666667,174310.17894736843,E01014623,875.0,915.0,1790.0
BS15 1,2022,269846.10256410256,230000.0,39,364336.4666666667,174310.17894736843,E01014623,882.0,934.0,1816.0
BS15 1,2022,269846.10256410256,230000.0,39,364336.4666666667,174310.17894736843,E01014623,889.0,930.0,1819.0
BS15 1,2023,283488.45714285714,291500.0,70,364336.4666666667,174310.17894736843,E01014623,901.0,952.0,1853.0
BS15 1,2024,272963.3522727273,271225.0,88,364336.4666666667,174310.17894736843,E01014623,910.0,945.0,1855.0
BS15 3,2015,253774.625,245000.0,160,364230.2434782609,171929.4391304348,E01014679,796.0,771.0,1567.0
BS15 3,2016,260703.82236842104,246250.0,152,364230.2434782609,171929.4391304348,E01014679,814.0,792.0,1606.0
BS15 3,2017,294352.4892086331,270000.0,139,364230.2434782609,171929.4391304348,E01014679,832.0,779.0,1611.0
BS15 3,2018,325825.4503311258,285000.0,151,364230.2434782609,171929.4391304348,E01014679,825.0,783.0,1608.0
BS15 3,2019,360593.6374501992,273500.0,251,364230.2434782609,171929.4391304348,E01014679,821.0,813.0,1634.0
BS15 3,2020,321137.88741721853,305000.0,151,364230.2434782609,171929.4391304348,E01014679,824.0,804.0,1628.0
BS15 3,2021,346500.2013888889,332500.0,144,364230.2434782609,171929.4391304348,E01014679,819.0,789.0,1608.0
BS15 3,2022,343500.0,326000.0,11,364230.2434782609,171929.4391304348,E01014679,813.0,797.0,1610.0
BS15 3,2022,343500.0,326000.0,11,364230.2434782609,171929.4391304348,E01014679,821.0,790.0,1611.0
BS15 3,2023,376076.4310344828,355000.0,58,364230.2434782609,171929.4391304348,E01014679,813.0,807.0,1620.0
BS15 3,2024,379551.1111111111,362500.0,72,364230.2434782609,171929.4391304348,E01014679,831.0,847.0,1678.0
BS15 4,2015,194390.953125,182725.0,192,365833.4856115108,174364.25899280576,E01014544,710.0,767.0,1477.0
BS15 4,2016,210440.83615819208,209950.0,177,365833.4856115108,174364.25899280576,E01014544,675.0,696.0,1371.0
BS15 4,2017,224546.3062200957,220000.0,209,365833.4856115108,174364.25899280576,E01014544,655.0,739.0,1394.0
BS15 4,2018,230730.2229299363,228000.0,157,365833.4856115108,174364.25899280576,E01014544,626.0,712.0,1338.0
BS15 4,2019,249860.83720930232,237000.0,215,365833.4856115108,174364.25899280576,E01014544,592.0,620.0,1212.0
BS15 4,2020,239744.90579710144,245000.0,138,365833.4856115108,174364.25899280576,E01014544,577.0,622.0,1199.0
BS15 4,2021,249138.31176470587,250000.0,170,365833.4856115108,174364.25899280576,E01014544,573.0,567.0,1140.0
BS15 4,2022,228356.375,187500.0,40,365833.4856115108,174364.25899280576,E01014544,588.0,594.0,1182.0
BS15 4,2022,228356.375,187500.0,40,365833.4856115108,174364.25899280576,E01014544,590.0,580.0,1170.0
BS15 4,2023,295786.8630136986,299500.0,73,365833.4856115108,174364.25899280576,E01014544,620.0,606.0,1226.0
BS15 4,2024,289741.3461538461,295000.0,104,365833.4856115108,174364.25899280576,E01014544,595.0,605.0,1200.0
BS15 6,2019,900000.0,900000.0,1,,,E01014865,,,
BS15 8,2015,225069.93292682926,188000.0,164,364466.8206521739,173371.35326086957,E01014673,858.0,829.0,1687.0
BS15 8,2016,201904.2541436464,196000.0,181,364466.8206521739,173371.35326086957,E01014673,917.0,860.0,1777.0
BS15 8,2017,234175.29487179487,225000.0,156,364466.8206521739,173371.35326086957,E01014673,929.0,855.0,1784.0
BS15 8,2018,237222.38372093023,220000.0,172,364466.8206521739,173371.35326086957,E01014673,909.0,842.0,1751.0
